Disease;Symptom_1;Symptom_2;Symptom_3;Symptom_4
Fungal infection;itching;rash;nodal_skin_eruptions;dischromic _patches
Fungal infection;rash;nodal_skin_eruptions;dischromic _patches;
Fungal infection;itching;nodal_skin_eruptions;dischromic _patches;
Fungal infection;itching;rash;dischromic _patches;
Fungal infection;itching;rash;nodal_skin_eruptions;
Fungal infection;rash;nodal_skin_eruptions;dischromic _patches;
Fungal infection;itching;nodal_skin_eruptions;dischromic _patches;
Fungal infection;itching;rash;dischromic _patches;
Fungal infection;itching;rash;nodal_skin_eruptions;
Fungal infection;itching;rash;nodal_skin_eruptions;dischromic _patches
Allergy;continuous_sneezing;shivering;chills;watering_from_eyes
Allergy;shivering;chills;watering_from_eyes;
Allergy;continuous_sneezing;chills;watering_from_eyes;
Allergy;continuous_sneezing;shivering;watering_from_eyes;
Allergy;continuous_sneezing;shivering;chills;
Allergy;shivering;chills;watering_from_eyes;
Allergy;continuous_sneezing;chills;watering_from_eyes;
Allergy;continuous_sneezing;shivering;watering_from_eyes;
Allergy;continuous_sneezing;shivering;chills;
Allergy;continuous_sneezing;shivering;chills;watering_from_eyes
GERD;stomach_pain;acidity;ulcers_on_tongue;vomiting
GERD;stomach_pain;ulcers_on_tongue;vomiting;cough
GERD;stomach_pain;acidity;vomiting;cough
GERD;stomach_pain;acidity;ulcers_on_tongue;cough
GERD;stomach_pain;acidity;ulcers_on_tongue;vomiting
GERD;stomach_pain;acidity;ulcers_on_tongue;vomiting
GERD;acidity;ulcers_on_tongue;vomiting;cough
GERD;stomach_pain;ulcers_on_tongue;vomiting;cough
GERD;stomach_pain;acidity;vomiting;cough
GERD;stomach_pain;acidity;ulcers_on_tongue;cough
Chronic cholestasis;itching;vomiting;yellowish_skin;nausea
Chronic cholestasis;vomiting;yellowish_skin;nausea;loss_of_appetite
Chronic cholestasis;itching;yellowish_skin;nausea;loss_of_appetite
Chronic cholestasis;itching;vomiting;nausea;loss_of_appetite
Chronic cholestasis;itching;vomiting;yellowish_skin;loss_of_appetite
Chronic cholestasis;itching;vomiting;yellowish_skin;nausea
Chronic cholestasis;itching;vomiting;yellowish_skin;nausea
Chronic cholestasis;itching;vomiting;yellowish_skin;nausea
Chronic cholestasis;itching;vomiting;yellowish_skin;nausea
Chronic cholestasis;itching;vomiting;yellowish_skin;nausea
Drug Reaction;itching;rash;stomach_pain;burning_micturition
Drug Reaction;itching;stomach_pain;burning_micturition;spotting_ urination
Drug Reaction;itching;rash;burning_micturition;spotting_ urination
Drug Reaction;itching;rash;stomach_pain;spotting_ urination
Drug Reaction;itching;rash;stomach_pain;burning_micturition
Drug Reaction;rash;stomach_pain;burning_micturition;spotting_ urination
Drug Reaction;itching;stomach_pain;burning_micturition;spotting_ urination
